x;y;z;T;phi;Q
0.500000;53.692001;0.000000;0.000000;0.000000;0.000000;
0.000000;54.557999;0.000000;0.000000;0.000000;0.000000;
0.500000;55.424000;0.000000;0.000000;0.000000;0.000000;
0.000000;56.290001;0.000000;0.000000;0.000000;0.000000;
0.500000;57.155998;0.000000;0.000000;0.000000;0.000000;
0.000000;58.021999;0.000000;0.000000;0.000000;0.000000;
0.500000;58.888000;0.000000;0.000000;0.000000;0.000000;
0.000000;59.754002;0.000000;0.000000;0.000000;0.000000;
0.500000;60.619999;0.000000;0.000000;0.000000;0.000000;
0.000000;61.486000;0.000000;0.000000;0.000000;0.000000;
0.500000;62.352001;0.000000;0.000000;0.000000;0.000000;
0.000000;63.217999;0.000000;0.000000;0.000000;0.000000;
0.500000;64.084000;0.000000;0.000000;0.000000;0.000000;
0.000000;64.949997;0.000000;0.000000;0.000000;0.000000;
0.500000;65.816002;0.000000;0.000000;0.000000;0.000000;
0.000000;66.681999;0.000000;0.000000;0.000000;0.000000;
0.500000;67.547997;0.000000;0.000000;0.000000;0.000000;
0.000000;68.414001;0.000000;0.000000;0.000000;0.000000;
0.500000;69.279999;0.000000;0.000000;0.000000;0.000000;
0.000000;70.146004;0.000000;0.000000;0.000000;0.000000;
0.500000;71.012001;0.000000;0.000000;0.000000;0.000000;
0.000000;71.877998;0.000000;0.000000;0.000000;0.000000;
0.500000;72.744003;0.000000;0.000000;0.000000;0.000000;
0.000000;73.610001;0.000000;0.000000;0.000000;0.000000;
0.500000;74.475998;0.000000;0.000000;0.000000;0.000000;
0.000000;75.342003;0.000000;0.000000;0.000000;0.000000;
0.500000;76.208000;0.000000;0.000000;0.000000;0.000000;
0.000000;77.073997;0.000000;0.000000;0.000000;0.000000;
0.500000;77.940002;0.000000;0.000000;0.000000;0.000000;
0.000000;78.806000;0.000000;0.000000;0.000000;0.000000;
0.500000;79.671997;0.000000;0.000000;0.000000;0.000000;
0.000000;80.538002;0.000000;0.000000;0.000000;0.000000;
0.500000;81.403999;0.000000;0.000000;0.000000;0.000000;
